row_id,inferred_domain,request_type,product_area,risk_level,risk_flags,retrieval_confidence,final_confidence,top_sources,escalation_route,decision,justification
1,Claude,product_issue,conversation_management,medium,none,0.3581,0.4157,9796807-creating-and-managing-workspaces-in-the-claude-console.md|9796807-creating-and-managing-workspaces-in-the-claude-console.md|9796807-creating-and-managing-workspaces-in-the-claude-console.md|9611303302-grant-team-admin-access.md|13930458-set-up-role-based-permissions-on-enterprise-plans.md,general human support,escalated,Escalated to general human support: No specific risk flags; routing to general support.
2,HackerRank,product_issue,screen,high,dispute,0.3528,0.1620,1999755553-workday---hackerrank-tests-user-guide.md|1202195004-jobvite---hackerrank-integration-configuration-guide.md|1999755553-workday---hackerrank-tests-user-guide.md|2513748038-multiple-choice-questions.md|5999209869-ashby---hackerrank-integration-user-guide.md,billing/payments team,escalated,Escalated to billing/payments team: Risk flag: dispute.
3,Visa,product_issue,general_support,high,billing|refund,0.5137,0.0246,visa-rules.md|support.md|visa-rules.md|travel-support.md|support.md,billing/payments team,escalated,Escalated to billing/payments team: Risk flag: billing.
4,HackerRank,bug,screen,high,billing|refund,0.4596,0.0617,8988753946-introduction-to-mock-interview.md|8988753946-introduction-to-mock-interview.md|4368819843-april-2026-release-notes.md|3282259518-purchase-mock-interviews.md|3572240492-hackerrank-glossary.md,billing/payments team,escalated,Escalated to billing/payments team: Risk flag: billing.
5,HackerRank,bug,general_support,high,billing,0.2412,0.1588,4147773232-troubleshooting-login-issues.md|9583186367-FAQs.md|4312449655-upgrade-subscription-plan.md|9015913-how-to-get-support.md|8325618-paid-plan-billing-faqs.md,billing/payments team,escalated,Escalated to billing/payments team: Risk flag: billing.
6,HackerRank,product_issue,general_support,low,none,0.3290,0.3953,9695299159-onboarding-candidates.md|1216495690-early-talent-.md|5213013268-report-settings.md|8000786908-ai-plagiarism-detection.md|1917106962-manage-account-faqs.md,none,replied,Replied using exact support documentation from 9695299159-onboarding-candidates.md.
7,HackerRank,bug,screen,low,none,0.2268,0.3987,9125743-what-is-the-external-researcher-access-program.md|6599779249-teamtailor---hackerrank-integration%3A-user-guide.md|2960935422-get-started-with-certify.md|5686123513-april-2025-release-notes.md|3593554348-enabling-outcome-data-and-public-link-with-greenhouse.md,none,replied,Replied using exact support documentation from 9125743-what-is-the-external-researcher-access-program.md.
8,HackerRank,bug,screen,low,none,0.2460,0.4122,1273631973-coding-challenges-faqs.md|1273631973-coding-challenges-faqs.md|7640208607-set-up-the-event-challenge.md|7992263058-weekly-challenges.md|7640208607-set-up-the-event-challenge.md,none,replied,Replied using exact support documentation from 1273631973-coding-challenges-faqs.md.
9,HackerRank,bug,screen,low,none,0.1905,0.2984,6201558176-assess-candidates-in-canadian-french-language.md|13403291-how-can-i-check-connectivity-to-the-claude-api.md|1273631973-coding-challenges-faqs.md|5805684780-zoom---hackerrank-interview-integration.md|9722863972-what-is-code-quality.md,general human support,escalated,Escalated to general human support: No specific risk flags; routing to general support.
10,HackerRank,invalid,screen,low,none,0.0000,0.2850,none,none,replied,Replied: Dismissed invalid or spam request.
11,HackerRank,product_issue,screen,low,none,0.1675,0.2823,8263794320-viewing-a-candidate%27s-detailed-test-report.md|2321596225-january-2026-release-notes.md|9867323057-january-2026-deprecations-and-experience-changes.md|9059560249-introduction-to-hackerrank-interviews.md|8404005945-creating-an-interview.md,general human support,escalated,Escalated to general human support: No specific risk flags; routing to general support.
12,None,bug,general_support,low,none,0.2536,0.4175,3282259518-purchase-mock-interviews.md|1917106962-manage-account-faqs.md|10366432-i-m-getting-an-api-connection-error-how-can-i-fix-it.md|9015913-how-to-get-support.md|11869619-using-claude-with-ios-apps.md,general human support,escalated,Escalated to general human support: No specific risk flags; routing to general support.
13,HackerRank,product_issue,screen,low,none,0.2375,0.3313,11175166-get-started-with-custom-connectors-using-remote-mcp.md|9533293667-create-an-account.md|4147773232-troubleshooting-login-issues.md|2837093779-standardizing-interviews-using-templates.md|1406188460-greenhouse---hackerrank-integration-guide.md,general human support,escalated,Escalated to general human support: No specific risk flags; routing to general support.
14,HackerRank,product_issue,general_support,low,none,0.6349,0.6094,5157311476-pause-subscription.md|5157311476-pause-subscription.md|5157311476-pause-subscription.md|3131912618-cancel-subscription.md|5157311476-pause-subscription.md,general human support,escalated,Escalated to general human support: No specific risk flags; routing to general support.
15,Claude,product_issue,general_support,low,none,0.2477,0.3384,11940350-claude-code-model-configuration.md|11145838-using-claude-code-with-your-max-plan.md|8114487-what-interfaces-can-i-use-to-access-claude.md|13945233-use-claude-for-excel-powerpoint-and-word-with-third-party-platforms.md|10722177-sharing-prompts-in-the-claude-console.md,general human support,escalated,Escalated to general human support: No specific risk flags; routing to general support.
16,Visa,product_issue,general_support,high,legal|security,0.4131,0.0000,support.md|support.md|8605077096-screen-to-interview-identity-match.md|visa-rules.md|8605077096-screen-to-interview-identity-match.md,privacy/legal team,escalated,Escalated to privacy/legal team: Risk flag: legal.
17,HackerRank,bug,general_support,low,none,0.8766,0.8536,9106957203-create-a-resume-with-resume-builder.md|1560975739-search-for-jobs.md|9106957203-create-a-resume-with-resume-builder.md|9106957203-create-a-resume-with-resume-builder.md|9106957203-create-a-resume-with-resume-builder.md,none,replied,Replied using exact support documentation from 9106957203-create-a-resume-with-resume-builder.md.
18,HackerRank,bug,screen,low,none,0.4615,0.5630,2077861863-download-certificate.md|8941367927-certifications-faqs.md|8941367927-certifications-faqs.md|8941367927-certifications-faqs.md|4264962721-getting-started-with-single-sign-on.md,none,replied,Replied using exact support documentation from 2077861863-download-certificate.md.
19,Visa,product_issue,general_support,high,billing|dispute,0.3644,0.0000,support.md|dispute-resolution.md|dispute-resolution.md|support.md|visa-rules.md,billing/payments team,escalated,Escalated to billing/payments team: Risk flag: billing.
20,Claude,product_issue,general_support,high,security,0.2527,0.1419,12119250-model-safety-bug-bounty-program.md|14604842-real-time-cyber-safeguards-on-claude.md|8106465-our-approach-to-user-safety.md|14661296-claude-security.md|4357184721-how-to-assess-selenium-skills-of-a-candidate-on-hackerrank.md,fraud/security team,escalated,Escalated to fraud/security team: Risk flag: security.
21,Claude,product_issue,privacy,low,none,0.3415,0.4041,8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler.md|12902428-using-claude-in-chrome-safely.md|12902446-claude-in-chrome-permissions-guide.md|8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler.md|7996906-reporting-blocking-and-removing-content-from-claude.md,none,replied,Replied using exact support documentation from 8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler.md.
22,Visa,product_issue,general_support,medium,none,0.4230,0.4611,travel-support.md|visa-rules.md|visa-rules.md|support.md|travel-support.md,general human support,escalated,Escalated to general human support: No specific risk flags; routing to general support.
23,Claude,feature_request,privacy,high,privacy,0.3131,0.1792,8325621-i-would-like-to-input-sensitive-data-into-my-chats-with-claude-who-can-view-my-conversations.md|2212135172-hackerrank-ai-data-services-faq.md|9450526-how-can-i-export-my-claude-data.md|9450526-how-can-i-export-my-claude-data.md|10166901-use-google-workspace-connectors.md,privacy/legal team,escalated,Escalated to privacy/legal team: Risk flag: privacy.
24,None,product_issue,general_support,low,none,0.3912,0.4389,7393075509-add-or-edit-education-details.md|8241126-uploading-files-to-claude.md|1626384486-hidden-test-cases-for-front-end%2C-back-end-and-full-stack-questions.md|9552481360-deleting-a-test.md|12111783-create-and-edit-files-with-claude.md,general human support,escalated,Escalated to general human support: No specific risk flags; routing to general support.
25,Visa,product_issue,general_support,high,fraud,0.4454,0.1768,visa-rules.md|visa-rules.md|travel-support.md|regulations-fees.md|support.md,fraud/security team,escalated,Escalated to fraud/security team: Risk flag: fraud.
26,Claude,bug,conversation_management,low,none,0.3364,0.4755,9519177-how-can-i-create-and-manage-projects.md|9519177-how-can-i-create-and-manage-projects.md|13756069-public-sector-faqs.md|12386420-claude-code-faq.md|10280791-what-aws-regions-are-claude-models-available-in-amazon-bedrock.md,none,replied,Replied using exact support documentation from 9519177-how-can-i-create-and-manage-projects.md.
27,HackerRank,product_issue,community,low,none,0.3755,0.4278,8522032191-skillup-employee-platform.md|5269412517-mitigating-candidate-drop-off.md|6967597139-creating-a-new-test.md|4329363164-accessing-skillup-employer-platform.md|9473085715-skillup-manager-experience.md,general human support,escalated,Escalated to general human support: No specific risk flags; routing to general support.
28,Claude,product_issue,general_support,low,none,0.2183,0.3178,8114487-what-interfaces-can-i-use-to-access-claude.md|13945233-use-claude-for-excel-powerpoint-and-word-with-third-party-platforms.md|10722177-sharing-prompts-in-the-claude-console.md|12111783-create-and-edit-files-with-claude.md|8987200-can-i-use-the-claude-api-for-individual-use.md,general human support,escalated,Escalated to general human support: No specific risk flags; routing to general support.
29,Visa,product_issue,general_support,low,none,0.5451,0.5466,support.md|visa-rules.md|visa-rules.md|travel-support.md|support.md,none,replied,Replied using exact support documentation from support.md.
